NODE_ID	PARENT_ID	SNV_IDS	SNV_ALLELES	CNA_IDS	CNA_CHANGES	SAMPLE_IDS	SAMPLE_NODE_FREQUENCIES
ROOT	NONE					MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0970,0.0442,0.0495,0.0676,0.2269,0.0449,0.0994,0.1353,0.1049,0.1280,0.1234,0.0725,0.0944,0.0763,0.1218,0.0812,0.1234,0.0460,0.1220,0.0613,0.0106,0.0085,0.1957,0.0829,0.0047,0.0953,0.0839,0.1987,0.0366,0.1558,0.2273,0.1741,0.1329,0.0283,0.0253,0.1522,0.0608,0.0726,0.1438,0.1299,0.0590
0	ROOT	mut0,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12	P,P,M,P,M,M,P,M,M,P,M,P,P	cna_mut27,cna_mut18	(1,0),(-1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1271,0.0271,0.1804,0.1382,0.1717,0.0359,0.1191,0.0930,0.0363,0.0515,0.0163,0.1694,0.1443,0.0127,0.0076,0.1853,0.0651,0.0800,0.0298,0.0169,0.1601,0.1558,0.1514,0.0453,0.1664,0.1294,0.0668,0.1082,0.0539,0.0221,0.0085,0.1843,0.1308,0.1239,0.0760,0.0904,0.0603,0.1462,0.0715,0.1988,0.0424
1	0	mut13,mut14,mut15,mut16,mut17,mut18,mut19,mut20,mut21,mut22,mut23,mut24,mut25,mut26,mut27,mut28,mut29	M,M,M,P,P,P,M,M,P,M,P,P,P,P,M,M,P	cna_mut6	(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1023,0.1482,0.0452,0.0371,0.1323,0.0308,0.1302,0.1155,0.1528,0.0751,0.1032,0.0435,0.0655,0.1458,0.1599,0.0408,0.0594,0.1362,0.1190,0.0079,0.0435,0.1181,0.0490,0.1593,0.1201,0.0993,0.1365,0.0005,0.1657,0.0278,0.0162,0.0178,0.1222,0.1601,0.1647,0.1020,0.0323,0.0764,0.1536,0.0398,0.1152
2	1	mut30,mut31,mut32,mut33	M,P,M,P	cna_mut85,cna_mut78	(0,1),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0562,0.1283,0.0728,0.1470,0.0134,0.1700,0.0579,0.0824,0.1114,0.0296,0.0366,0.0197,0.0052,0.0253,0.1310,0.1500,0.0378,0.0001,0.0926,0.2223,0.1061,0.1094,0.1929,0.0253,0.1573,0.1582,0.0778,0.0681,0.0496,0.1745,0.0116,0.0897,0.1623,0.0928,0.1472,0.0486,0.0001,0.1335,0.0426,0.1241,0.1718
3	1	mut34,mut35,mut36,mut37,mut38,mut39,mut40,mut41	P,P,P,M,M,P,M,P	cna_mut5,cna_mut14,cna_mut72,cna_mut51,cna_mut63	(-1,0),(0,-1),(0,-1),(0,-1),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0317,0.1469,0.1801,0.1243,0.0390,0.1938,0.0736,0.0247,0.0233,0.1331,0.1273,0.1088,0.0929,0.1062,0.0944,0.0633,0.0318,0.0971,0.1246,0.1355,0.1107,0.0811,0.0553,0.0766,0.1578,0.0130,0.1289,0.1108,0.0421,0.0897,0.1099,0.1375,0.0284,0.0729,0.1182,0.1582,0.0316,0.0870,0.1134,0.1002,0.0675
4	1	mut42,mut43,mut44,mut45,mut46,mut47,mut48,mut49,mut50,mut51,mut52,mut53	M,P,M,M,P,P,P,M,P,M,P,M	cna_mut96	(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0673,0.1400,0.0829,0.0358,0.0915,0.1003,0.0295,0.1388,0.0511,0.0969,0.1284,0.1644,0.1216,0.1509,0.0163,0.0259,0.1128,0.1543,0.0333,0.0404,0.1369,0.0999,0.0215,0.0657,0.0580,0.0425,0.1190,0.0286,0.0680,0.1459,0.1285,0.0175,0.0757,0.0126,0.1446,0.1223,0.1741,0.0067,0.1310,0.0112,0.1356
5	0	mut54,mut55,mut56,mut57,mut58,mut59,mut60	M,M,M,P,P,P,P	cna_mut11,cna_mut76	(-1,0),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.2511,0.1114,0.0512,0.0030,0.0219,0.0209,0.0490,0.1081,0.1547,0.1294,0.0944,0.0993,0.1273,0.0463,0.0650,0.1122,0.1456,0.1533,0.2038,0.0503,0.1053,0.1088,0.0445,0.0021,0.0911,0.1833,0.1181,0.0026,0.0642,0.0759,0.0399,0.0974,0.1583,0.0379,0.0191,0.0897,0.0964,0.0966,0.0899,0.0675,0.0241
6	3	mut61,mut62,mut63,mut64,mut65,mut66,mut67,mut68,mut69	M,P,M,M,M,P,M,M,M	cna_mut57,cna_mut29	(0,1),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1419,0.1191,0.0285,0.1372,0.0805,0.1335,0.0988,0.1006,0.1678,0.0112,0.0987,0.0033,0.0515,0.1388,0.1067,0.1471,0.1445,0.0811,0.0147,0.1944,0.1064,0.0160,0.0899,0.1202,0.0985,0.1784,0.0834,0.1568,0.1363,0.0712,0.1872,0.1866,0.0809,0.0555,0.1392,0.0830,0.1621,0.0982,0.0285,0.0358,0.1133
7	5	mut70,mut71,mut72,mut73,mut74,mut75,mut76,mut77,mut78,mut79,mut80,mut81,mut82,mut83,mut84,mut85	M,M,P,M,M,P,P,M,M,P,M,P,P,M,P,P	cna_mut31,cna_mut36	(1,0),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0059,0.0552,0.1299,0.0670,0.0534,0.0953,0.1216,0.0042,0.0238,0.1683,0.1096,0.0231,0.0142,0.0252,0.1146,0.0141,0.0712,0.1425,0.0694,0.0624,0.0307,0.1574,0.0060,0.1340,0.0154,0.0015,0.0337,0.0661,0.0833,0.0190,0.1957,0.0634,0.0274,0.0907,0.0008,0.0271,0.1918,0.1140,0.1524,0.2235,0.0387
8	0	mut86,mut87,mut88,mut89,mut90,mut91,mut92,mut93	P,M,M,P,M,M,P,P	cna_mut20,cna_mut67	(-1,0),(-1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0377,0.0027,0.0402,0.1001,0.0333,0.0878,0.0896,0.0671,0.0866,0.0230,0.1349,0.1531,0.1245,0.1698,0.1206,0.0010,0.0987,0.0269,0.1455,0.1120,0.0243,0.0499,0.0963,0.1334,0.1302,0.0039,0.1201,0.1883,0.1512,0.0913,0.0736,0.0038,0.0221,0.1622,0.1306,0.0619,0.0771,0.0271,0.0654,0.0653,0.1612
